확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-09-22,카카오페이지,1,너의 윙맨에게 [19세 완전판],건어물녀,2024-09-12,뷰수,"5,318,685",#현대로맨스 #전문직물 #캠퍼스물 #운명 #성장물 #군대물 #능력녀 #철벽녀 #걸크러쉬 #로맨틱코미디 #능글남 #계략남 #까칠남 #치유물,https://page.kakao.com/content/65015393
2026-09-22,카카오페이지,2,몰락서녀생존기,람글,2026-09-13,뷰수,"1,295,877",#동양풍 #궁정로맨스 #타임슬립 #복수물 #암투물 #다정남 #카리스마남 #상처남 #철벽남 #능력녀 #자상녀 #외유내강 #뇌섹녀 #드라마 #권선징악,https://page.kakao.com/content/70354512
2026-09-22,카카오페이지,3,러브 캠프,뽕시꽁시,2026-09-21,뷰수,"72,345",#현대로맨스 #재회물 #첫사랑 #삼각관계 #소유욕/독점욕 #능력남 #직진남 #계략남 #후회남 #다정녀 #상처녀 #철벽녀,https://page.kakao.com/content/70253102
2026-09-22,카카오페이지,4,너의 윙맨에게,건어물녀,2024-09-12,뷰수,"1,363,911",#현대로맨스 #운명 #전문직물 #캠퍼스물 #군대물 #능글남 #까칠남 #계략남 #능력녀 #철벽녀 #걸크러쉬 #로맨틱코미디 #치유물 #성장물,https://page.kakao.com/content/65015396
2026-09-22,카카오페이지,5,어린 아내가 생겼다 [19세 완전판],랑새,2026-09-19,뷰수,"113,458",#현대로맨스 #정략결혼 #나이차커플 #첫사랑 #무심남 #재벌남 #능력남 #다정남 #애교녀 #직진녀 #순정녀 #상처녀 #외유내강 #로맨틱코미디 #권선징악,https://page.kakao.com/content/70313185
2026-09-22,카카오페이지,6,남들이 피난 갈 때 나는 개간한다,"귤향습인,안이든",2026-09-18,뷰수,"131,408",#해외로맨스 #동양풍 #능력녀 #빙의물,https://page.kakao.com/content/70762262
2026-09-22,카카오페이지,7,어린 아내가 생겼다,랑새,2026-09-19,뷰수,"115,234",#현대로맨스 #정략결혼 #나이차커플 #첫사랑 #무심남 #재벌남 #능력남 #다정남 #애교녀 #직진녀 #순정녀 #상처녀 #외유내강 #로맨틱코미디 #권선징악,https://page.kakao.com/content/70313452
2026-09-22,카카오페이지,8,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"21,792,356",#현대로맨스 #캠퍼스물 #연예계물 #회귀물 #운명 #능력녀 #걸크러쉬 #외유내강 #소유욕/독점욕 #능력남 #경쟁구도 #라이벌/앙숙 #드라마,https://page.kakao.com/content/65721646
2026-09-22,카카오페이지,9,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"14,099,454",#육아물 #회귀물 #운명 #다정남 #까칠남 #츤데레남 #힐링물 #드라마 #연예계물,https://page.kakao.com/content/68283715
2026-09-22,카카오페이지,10,너의 윙맨에게 [19세 완전판][단행본],건어물녀,2026-02-23,뷰수,"184,655",#캠퍼스물 #전문직물 #현대로맨스 #역하렘 #운명 #성장물 #군대물 #능력녀 #철벽녀 #걸크러쉬 #로맨틱코미디 #능글남 #계략남 #까칠남 #치유물,https://page.kakao.com/content/68572313
2026-09-22,카카오페이지,11,히어로에게 먹힌 빌런 [19세 완전판][외전 독점],시나몬,2023-06-24,뷰수,"197,257",#현대로맨스 #로맨스판타지 #로맨틱코미디 #까칠남 #카리스마남 #절륜남 #오만남 #츤데레남 #까칠녀 #엉뚱발랄녀 #소유욕/독점욕 #라이벌/앙숙 #배틀연애,https://page.kakao.com/content/62075732
2026-09-22,카카오페이지,12,대통령 집안의 액받이 며느리였습니다,최서하,2026-09-11,뷰수,"387,422",#걸크러쉬 #로맨틱코미디 #순정남 #상처녀 #운명 #복수물,https://page.kakao.com/content/70357033
2026-09-22,카카오페이지,13,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"29,259,206",#로맨스판타지 #동양풍 #육아물 #수인물 #힐링물 #성장물 #능력녀 #다정남 #순정남 #능력남 #가족후회물 #권선징악,https://page.kakao.com/content/65575525
2026-09-22,카카오페이지,14,의술 명가 시한부 막내딸은 천재 의원,빅노아,2026-08-28,뷰수,"557,834",#동양풍 #육아물 #회귀물 #성장물 #다정남 #대형견남 #직진남 #능력녀 #외유내강 #치유물 #권선징악 #냉정남 #전문직물 #까칠남 #복수물,https://page.kakao.com/content/69943182
2026-09-22,카카오페이지,15,전교 1등이 회귀를 숨김,유지민,2024-11-29,뷰수,"13,326,086",#학원물 #회귀물 #첫사랑 #까칠남 #능글남 #순정남 #후회남 #직진남 #평범녀 #철벽녀 #삼각관계 #로맨틱코미디,https://page.kakao.com/content/65530797
2026-09-22,리디북스,1,사춘기,교결,2026-09-17,별점(리뷰수),4.5(903),#현대물 #19+ #나이차커플 #까칠남 #나쁜남자 #계략남 #카리스마남 #애증 #조직/암흑가 #소유욕/독점욕/질투 #능력남 #냉정남 #오만남 #별점500개이상 #5000~1만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #교결 #SOME,https://ridibooks.com/books/6070000068
2026-09-22,리디북스,2,언더독 메리지,차나배,2026-09-11,별점(리뷰수),4.4(373),#현대물 #동거 #삼각관계 #첫사랑 #속도위반 #정략결혼 #나쁜남자 #후회남 #다정남 #절륜남 #순진녀 #상처녀 #재벌남 #몸정>맘정 #소유욕/독점욕/질투 #능력남 #집착남 #다정녀 #짝사랑녀 #순정녀 #동정녀 #오메가버스 #별점100개이상 #5000~1만원 #평점4점이상 #리뷰100개이상 #단행본 #차나배 #르네,https://ridibooks.com/books/1811279258
2026-09-22,리디북스,3,베리 미(Berry Me),산자고,2026-09-14,별점(리뷰수),4.5(378),#현대물 #첫사랑 #재회물 #순정남 #동정남 #다정남 #절륜남 #순진녀 #상처녀 #능글남 #잔잔물 #달달물 #사이다남 #직진남 #짝사랑남 #동정녀 #힐링물 #별점100개이상 #3000~5000원 #평점4점이상 #리뷰100개이상 #산자고 #로아,https://ridibooks.com/books/1239023663
2026-09-22,리디북스,4,저주가 친절하고 소꿉친구가 맛있어요,죄송한취향,2022-06-17,별점(리뷰수),"4.4(3,668)",#현대물 #19+ #판타지물 #로맨틱코미디 #첫사랑 #친구>연인 #순정남 #절륜남 #계략남 #초능력 #군대물 #라이벌/앙숙 #능력남 #집착남 #능력녀 #까칠녀 #털털녀 #5000~1만원 #리뷰1000개이상 #별점3000개이상 #10%할인 #고수위 #평점4점이상 #단행본 #죄송한취향 #나인,https://ridibooks.com/books/4933000001
2026-09-22,리디북스,5,정연,향기바람이,2026-09-13,별점(리뷰수),4.6(709),#현대물 #첫사랑 #신파 #정략결혼 #순정남 #동정남 #상처녀 #재벌남 #잔잔물 #오래된연인 #직진남 #철벽남 #다정녀 #순정녀 #철벽녀 #동정녀 #이야기중심 #별점500개이상 #5000~1만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #향기바람이 #로담,https://ridibooks.com/books/809062705
2026-09-22,리디북스,6,스톰,브루니,2026-09-19,별점(리뷰수),4.4(204),#현대물 #19+ #신파 #재회물 #절륜남 #상처녀 #카리스마남 #재벌남 #애잔물 #신분차이 #소유욕/독점욕/질투 #능력남 #별점100개이상 #5000~1만원 #10%할인 #고수위 #평점4점이상 #리뷰100개이상 #단행본 #브루니 #몽블랑,https://ridibooks.com/books/120113117
2026-09-22,리디북스,7,파도를 일으킨 빛,요안나(유아나),2025-09-11,별점(리뷰수),4.6(994),#현대물 #로맨틱코미디 #상처남 #동정남 #달달물 #전문직 #계약연애/결혼 #소유욕/독점욕/질투 #뇌섹남 #능력남 #존댓말남 #능력녀 #짝사랑녀 #순정녀 #동정녀 #힐링물 #별점500개이상 #5000~1만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #요안나(유아나) #릴리스,https://ridibooks.com/books/505099369
2026-09-22,리디북스,8,우정은 누군가의 지독한 짝사랑이다,정은현,2026-09-16,별점(리뷰수),4.5(118),#현대물 #학원물 #동거 #첫사랑 #재회물 #친구>연인 #까칠남 #상처남 #순정남 #동정남 #다정남 #계략남 #상처녀 #오해 #잔잔물 #애증 #법조계 #라이벌/앙숙 #갑을관계 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #직진남 #유혹남 #짝사랑남 #평범녀 #다정녀 #짝사랑녀 #순정녀 #동정녀 #외유내강 #성장물 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #단행본 #정은현 #튜베로사,https://ridibooks.com/books/3885050894
2026-09-22,리디북스,9,슈가 러쉬(Sugar Rush),정비비,2026-09-14,별점(리뷰수),4.5(148),#현대물 #원나잇 #순정남 #다정남 #절륜남 #능글남 #몸정>맘정 #소유욕/독점욕/질투 #능력남 #직진남 #애교남 #유혹남 #집착남 #짝사랑남 #나쁜여자 #철벽녀 #무심녀 #더티토크 #별점100개이상 #5000~1만원 #고수위 #평점4점이상 #리뷰100개이상 #단행본 #정비비 #르네,https://ridibooks.com/books/1811279318
2026-09-22,리디북스,10,서울에서 남자애 하나가 내려왔다더라,견우,2026-08-14,별점(리뷰수),"4.7(1,358)",#현대물 #학원물 #첫사랑 #재회물 #친구>연인 #까칠남 #상처남 #순정남 #동정남 #다정남 #상처녀 #오해 #카리스마남 #재벌남 #애증 #신분차이 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #직진남 #집착남 #짝사랑남 #평범녀 #능글녀 #다정녀 #후회녀 #짝사랑녀 #순정녀 #동정녀 #무심녀 #털털녀 #조신남 #츤데레남 #별점1000개이상 #1만원~2만원 #리뷰500개이상 #평점4점이상 #단행본 #견우 #SOME,https://ridibooks.com/books/4865000493
2026-09-22,리디북스,11,인투 더 섀도우(Into the shadow),이분홍,2026-09-03,별점(리뷰수),"4.8(1,298)",#현대물 #실존역사물 #서양풍 #나이차커플 #복수 #정략결혼 #상처남 #동정남 #다정남 #절륜남 #순진녀 #카리스마남 #왕족/귀족 #조직/암흑가 #선결혼후연애 #소유욕/독점욕/질투 #뇌섹남 #능력남 #사이다남 #직진녀 #다정녀 #유혹녀 #짝사랑녀 #외유내강 #힐링물 #성장물 #별점1000개이상 #1만원~2만원 #리뷰1000개이상 #10%할인 #평점4점이상 #단행본 #이분홍 #블랙엔,https://ridibooks.com/books/5721000635
2026-09-22,리디북스,12,쥐들의 임금이시여,한서연,2026-09-21,별점(리뷰수),4.5(91),#현대물 #나이차커플 #동거 #복수 #신파 #까칠남 #상처남 #나쁜남자 #동정남 #후회남 #절륜남 #계략남 #상처녀 #카리스마남 #애증 #조직/암흑가 #권선징악 #소유욕/독점욕/질투 #뇌섹남 #능력남 #냉정남 #까칠녀 #피폐물 #5000~1만원 #10%할인 #평점4점이상 #단행본 #한서연 #닉스,https://ridibooks.com/books/6167000698
