확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-08-28,카카오페이지,1,흑표범의 애착 다람쥐 [19세 완전판][단행본],벚꽃그리고,2026-08-26,뷰수,"33,382",#현대로맨스 #캠퍼스물 #수인물 #첫사랑 #운명 #순정남 #짝사랑남 #엉뚱발랄녀 #순진녀 #짝사랑녀 #로맨틱코미디 #달달물,https://page.kakao.com/content/70194239
2026-08-28,카카오페이지,2,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"13,225,639",#육아물 #회귀물 #운명 #다정남 #까칠남 #츤데레남 #힐링물 #드라마 #연예계물,https://page.kakao.com/content/68283715
2026-08-28,카카오페이지,3,순정적 미친놈,호미,2026-08-24,뷰수,"196,754",#현대로맨스 #사내연애 #오해물 #성장물 #법조계 #오피스물 #첫사랑 #능글남 #능력남 #직진남 #능력녀 #철벽녀 #상처녀 #달달물 #로맨틱코미디,https://page.kakao.com/content/69906631
2026-08-28,카카오페이지,4,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"20,821,791",#현대로맨스 #캠퍼스물 #연예계물 #회귀물 #운명 #능력녀 #걸크러쉬 #외유내강 #소유욕/독점욕 #능력남 #경쟁구도 #라이벌/앙숙 #드라마,https://page.kakao.com/content/65721646
2026-08-28,카카오페이지,5,착각 맞선,강영주,2024-05-30,뷰수,"10,647,629",#현대로맨스 #메디컬물 #전문직물 #카리스마남 #능력남 #소유욕/독점욕 #직진남 #능력녀 #엉뚱발랄녀 #철벽녀 #맞선관계 #달달물 #로맨틱코미디 #사내연애 #절륜남,https://page.kakao.com/content/64239767
2026-08-28,카카오페이지,6,전무님과 밤마다 [19세 완전판],스밀라,2026-08-22,뷰수,"246,169",#현대로맨스 #원나잇 #몸정>맘정 #오피스물 #첫사랑 #재벌남 #카리스마남 #능력남 #절륜남 #직진남 #순정녀 #다정녀 #상처녀 #짝사랑녀 #나이차커플,https://page.kakao.com/content/69937954
2026-08-28,카카오페이지,7,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"4,547,621",#현대로맨스 #연예계물 #회귀물 #천재 #연하남 #능력남 #존댓말남 #능력녀 #상처녀 #드라마,https://page.kakao.com/content/69113551
2026-08-28,카카오페이지,8,오싹한 선배 [19세 완전판],우아진,2026-08-16,뷰수,"459,063",#현대로맨스 #캠퍼스물 #까칠남 #능글남 #유혹남 #재벌남 #절륜남 #선배 #능력녀 #자상녀 #엉뚱발랄녀 #철벽녀 #로맨틱코미디,https://page.kakao.com/content/69994141
2026-08-28,카카오페이지,9,"천재 작곡가, 다시 시작합니다",우드아트,2026-02-13,뷰수,"2,645,348",#전문직물 #회귀물 #복수물 #악녀 #능력녀,https://page.kakao.com/content/68535570
2026-08-28,카카오페이지,10,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"28,922,888",#로맨스판타지 #동양풍 #육아물 #수인물 #힐링물 #성장물 #능력녀 #다정남 #순정남 #능력남 #가족후회물 #권선징악,https://page.kakao.com/content/65575525
2026-08-28,카카오페이지,11,전무님과 밤마다,스밀라,2026-08-22,뷰수,"95,222",#현대로맨스 #원나잇 #몸정>맘정 #오피스물 #첫사랑 #재벌남 #카리스마남 #능력남 #절륜남 #직진남 #순정녀 #다정녀 #상처녀 #짝사랑녀 #나이차커플,https://page.kakao.com/content/69937949
2026-08-28,카카오페이지,12,미친 전무님의 애착 변호사,진하리,2026-08-12,뷰수,"508,361",#오해물 #복수물 #원나잇 #재벌남 #사이다남 #계략남 #능글남 #유혹남 #오만남 #카리스마남 #능력녀 #상처녀 #전문직물 #로맨틱코미디 #달달물,https://page.kakao.com/content/70142886
2026-08-28,카카오페이지,13,계약 아내에게 미쳐서,최리본,2026-08-18,뷰수,"270,901",#현대로맨스 #계략남 #집착남 #애잔물 #상처녀,https://page.kakao.com/content/70229845
2026-08-28,카카오페이지,14,장희빈의 애기나인으로 살아남기,김정화,2026-05-14,뷰수,"1,880,372",#궁정로맨스 #동양풍 #타임슬립 #육아물 #성장물 #왕족/귀족 #신분차이 #드라마,https://page.kakao.com/content/69120696
2026-08-28,카카오페이지,15,오싹한 선배,우아진,2026-08-16,뷰수,"246,657",#현대로맨스 #캠퍼스물 #까칠남 #능글남 #재벌남 #유혹남 #절륜남 #선배 #능력녀 #엉뚱발랄녀 #철벽녀 #자상녀 #로맨틱코미디,https://page.kakao.com/content/69994110
