확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-08-30,카카오페이지,1,의술 명가 시한부 막내딸은 천재 의원,빅노아,2026-08-28,뷰수,"184,633",#동양풍 #육아물 #회귀물 #성장물 #다정남 #대형견남 #직진남 #능력녀 #외유내강 #치유물 #권선징악 #냉정남 #전문직물 #까칠남 #복수물,https://page.kakao.com/content/69943182
2026-08-30,카카오페이지,2,탑 아이돌 삼촌이 넷이나 생김,해강,2026-01-16,뷰수,"13,281,647",#육아물 #회귀물 #운명 #다정남 #까칠남 #츤데레남 #힐링물 #드라마 #연예계물,https://page.kakao.com/content/68283715
2026-08-30,카카오페이지,3,악덕 시어머니는 농사지으며 늙고 싶다,"함어삼삼,새라",2026-08-28,뷰수,"58,705",#동양풍 #성장물 #환생물 #가족물 #능력녀 #사이다녀 #타임슬립 #빙의물,https://page.kakao.com/content/70451364
2026-08-30,카카오페이지,4,순정적 미친놈,호미,2026-08-24,뷰수,"231,166",#현대로맨스 #사내연애 #오해물 #성장물 #법조계 #오피스물 #첫사랑 #능글남 #능력남 #직진남 #능력녀 #철벽녀 #상처녀 #달달물 #로맨틱코미디,https://page.kakao.com/content/69906631
2026-08-30,카카오페이지,5,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"4,582,423",#현대로맨스 #연예계물 #회귀물 #천재 #연하남 #능력남 #존댓말남 #능력녀 #상처녀 #드라마,https://page.kakao.com/content/69113551
2026-08-30,카카오페이지,6,무명 여배우인데 모두 날 알아,크트밀,2024-12-30,뷰수,"20,872,770",#현대로맨스 #캠퍼스물 #연예계물 #회귀물 #운명 #능력녀 #걸크러쉬 #외유내강 #소유욕/독점욕 #능력남 #경쟁구도 #라이벌/앙숙 #드라마,https://page.kakao.com/content/65721646
2026-08-30,카카오페이지,7,아기는 부를 거머쥔다,준예,2026-04-10,뷰수,"987,308",#연예계물 #육아물 #성장물 #가족물 #능력녀 #뇌섹녀 #걸크러쉬 #사이다녀 #재벌녀 #소꿉친구 #힐링물,https://page.kakao.com/content/69022052
2026-08-30,카카오페이지,8,흑표범의 애착 다람쥐 [19세 완전판][단행본],벚꽃그리고,2026-08-26,뷰수,"42,269",#현대로맨스 #캠퍼스물 #수인물 #첫사랑 #운명 #순정남 #짝사랑남 #엉뚱발랄녀 #순진녀 #짝사랑녀 #로맨틱코미디 #달달물,https://page.kakao.com/content/70194239
2026-08-30,카카오페이지,9,전무님과 밤마다 [19세 완전판],스밀라,2026-08-22,뷰수,"271,100",#현대로맨스 #원나잇 #몸정>맘정 #오피스물 #첫사랑 #재벌남 #카리스마남 #능력남 #절륜남 #직진남 #순정녀 #다정녀 #상처녀 #짝사랑녀 #나이차커플,https://page.kakao.com/content/69937954
2026-08-30,카카오페이지,10,오싹한 선배 [19세 완전판],우아진,2026-08-16,뷰수,"480,667",#현대로맨스 #캠퍼스물 #까칠남 #능글남 #유혹남 #재벌남 #절륜남 #선배 #능력녀 #자상녀 #엉뚱발랄녀 #철벽녀 #로맨틱코미디,https://page.kakao.com/content/69994141
2026-08-30,카카오페이지,11,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"28,944,272",#로맨스판타지 #동양풍 #육아물 #수인물 #힐링물 #성장물 #능력녀 #다정남 #순정남 #능력남 #가족후회물 #권선징악,https://page.kakao.com/content/65575525
2026-08-30,카카오페이지,12,착각 맞선,강영주,2024-05-30,뷰수,"10,684,722",#현대로맨스 #메디컬물 #전문직물 #카리스마남 #능력남 #소유욕/독점욕 #직진남 #능력녀 #엉뚱발랄녀 #철벽녀 #맞선관계 #달달물 #로맨틱코미디 #사내연애 #절륜남,https://page.kakao.com/content/64239767
2026-08-30,카카오페이지,13,미친 전무님의 애착 변호사,진하리,2026-08-12,뷰수,"527,120",#오해물 #복수물 #원나잇 #재벌남 #사이다남 #계략남 #능글남 #유혹남 #오만남 #카리스마남 #능력녀 #상처녀 #전문직물 #로맨틱코미디 #달달물,https://page.kakao.com/content/70142886
2026-08-30,카카오페이지,14,"천재 작곡가, 다시 시작합니다",우드아트,2026-02-13,뷰수,"2,671,925",#전문직물 #회귀물 #복수물 #악녀 #능력녀,https://page.kakao.com/content/68535570
2026-08-30,카카오페이지,15,연프에서 애아빠를 만났다,토오끼,2026-07-31,뷰수,"1,183,661",#현대로맨스 #재회물 #베이비메신저 #첫사랑 #까칠남 #능글남 #소유욕/독점욕 #외유내강 #철벽녀 #상처녀 #친구>연인 #능력남,https://page.kakao.com/content/69836997
2026-08-30,리디북스,1,상사도 밤에 쓰려면 없다,금단,2026-01-26,별점(리뷰수),"4.6(1,807)",#현대물 #사내연애 #상처남 #나쁜남자 #순정남 #동정남 #후회남 #절륜남 #오해 #재벌남 #몸정>맘정 #소유욕/독점욕/질투 #능력남 #집착남 #짝사랑남 #오만남 #다정녀 #유혹녀 #철벽녀 #동정녀 #외유내강 #엉뚱녀 #쾌활발랄녀 #더티토크 #별점1000개이상 #5000~1만원 #리뷰1000개이상 #10%할인 #고수위 #평점4점이상 #단행본 #금단 #어셈블,https://ridibooks.com/books/1483039256
2026-08-30,리디북스,2,가시 돋친 순애,감언이설,2026-07-01,별점(리뷰수),"4.6(1,532)",#현대물 #19+ #학원물 #동거 #첫사랑 #재회물 #순정남 #동정남 #다정남 #절륜남 #상처녀 #오해 #능글남 #애증 #소유욕/독점욕/질투 #운명적사랑 #능력남 #직진남 #집착남 #대형견남 #후회녀 #동정녀 #까칠녀 #냉정녀 #도도녀 #별점1000개이상 #1만원~2만원 #리뷰1000개이상 #10%할인 #평점4점이상 #단행본 #감언이설 #래이니북스,https://ridibooks.com/books/3075003345
