확인날짜,플랫폼,순위,작품명,작가명,론칭일,지표종류,지표값,키워드,URL
2026-09-16,카카오페이지,11,반파부군태총아,미단개화,2026-09-10,뷰수,"188,759",#동양풍 #빙의물 #차원이동 #운명 #까칠남 #능력남 #능력녀 #애교녀 #엉뚱발랄녀 #로맨틱코미디 #달달물 #권선징악 #개그물,https://page.kakao.com/content/70524310
2026-09-16,카카오페이지,12,오빠 친구의 불순한 과외,예주하,2026-08-30,뷰수,"600,878",#현대로맨스 #동거물 #오빠 #다정남 #츤데레남 #유혹남 #재벌남 #능력남 #절륜남 #순정녀 #직진녀 #달달물 #로맨틱코미디,https://page.kakao.com/content/70324023
2026-09-16,카카오페이지,13,백호 가문의 아기 솜뭉치,꿀끼,2024-12-07,뷰수,"29,179,604",#로맨스판타지 #동양풍 #육아물 #수인물 #힐링물 #성장물 #능력녀 #다정남 #순정남 #능력남 #가족후회물 #권선징악,https://page.kakao.com/content/65575525
2026-09-16,카카오페이지,14,오빠 친구는 남자가 아니었는데,허이령,2026-09-07,뷰수,"235,470",#현대로맨스 #소유욕/독점욕 #오빠 #능력남 #재벌남 #계략남 #능력녀 #상처녀 #외유내강 #달달물,https://page.kakao.com/content/70248520
2026-09-16,카카오페이지,15,이번 생엔 남편 말고 오스카상이요,이그나르,2026-04-30,뷰수,"5,104,634",#현대로맨스 #연예계물 #회귀물 #천재 #연하남 #능력남 #존댓말남 #능력녀 #상처녀 #드라마,https://page.kakao.com/content/69113551
2026-09-16,리디북스,1,정연,향기바람이,2026-09-13,별점(리뷰수),4.6(459),#현대물 #첫사랑 #신파 #정략결혼 #순정남 #동정남 #상처녀 #재벌남 #잔잔물 #오래된연인 #직진남 #철벽남 #다정녀 #순정녀 #철벽녀 #동정녀 #이야기중심 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #향기바람이 #로담,https://ridibooks.com/books/809062705
2026-09-16,리디북스,2,저주가 친절하고 소꿉친구가 맛있어요,죄송한취향,2022-06-17,별점(리뷰수),"4.4(3,629)",#현대물 #19+ #판타지물 #로맨틱코미디 #첫사랑 #친구>연인 #순정남 #절륜남 #계략남 #초능력 #군대물 #라이벌/앙숙 #능력남 #집착남 #능력녀 #까칠녀 #털털녀 #5000~1만원 #리뷰1000개이상 #별점3000개이상 #10%할인 #고수위 #평점4점이상 #단행본 #죄송한취향 #나인,https://ridibooks.com/books/4933000001
2026-09-16,리디북스,3,정숙한 하숙 생활,또다른,2026-09-10,별점(리뷰수),4.6(358),#현대물 #나이차커플 #로맨틱코미디 #첫사랑 #다정남 #달달물 #비밀연애 #뇌섹남 #철벽남 #직진녀 #다정녀 #애교녀 #유혹녀 #짝사랑녀 #순정녀 #동정녀 #엉뚱녀 #쾌활발랄녀 #성장물 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #또다른 #프롬텐,https://ridibooks.com/books/3302058768
2026-09-16,리디북스,4,언더독 메리지,차나배,2026-09-11,별점(리뷰수),4.4(135),#현대물 #동거 #삼각관계 #첫사랑 #속도위반 #정략결혼 #나쁜남자 #후회남 #다정남 #절륜남 #순진녀 #상처녀 #재벌남 #몸정>맘정 #소유욕/독점욕/질투 #능력남 #집착남 #다정녀 #짝사랑녀 #순정녀 #동정녀 #오메가버스 #별점100개이상 #5000~1만원 #평점4점이상 #단행본 #차나배 #르네,https://ridibooks.com/books/1811279258
2026-09-16,리디북스,5,인투 더 섀도우(Into the shadow),이분홍,2026-09-03,별점(리뷰수),"4.8(1,210)",#현대물 #실존역사물 #서양풍 #나이차커플 #복수 #정략결혼 #상처남 #동정남 #다정남 #절륜남 #순진녀 #카리스마남 #왕족/귀족 #조직/암흑가 #선결혼후연애 #소유욕/독점욕/질투 #뇌섹남 #능력남 #사이다남 #직진녀 #다정녀 #유혹녀 #짝사랑녀 #외유내강 #힐링물 #성장물 #별점1000개이상 #1만원~2만원 #리뷰1000개이상 #10%할인 #평점4점이상 #단행본 #이분홍 #블랙엔,https://ridibooks.com/books/5721000635
2026-09-16,리디북스,6,섬휘성 암점,외정,2026-09-11,별점(리뷰수),4.5(213),#현대물 #첫사랑 #재회물 #순정남 #동정남 #연하남 #절륜남 #계략남 #순진녀 #상처녀 #애증 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #직진남 #유혹남 #집착남 #짝사랑남 #냉정남 #오만남 #다정녀 #철벽녀 #무심녀 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #외정 #베일,https://ridibooks.com/books/1811279312
2026-09-16,리디북스,7,베리 미(Berry Me),산자고,2026-09-14,별점(리뷰수),4.6(128),#현대물 #첫사랑 #재회물 #순정남 #동정남 #다정남 #절륜남 #순진녀 #상처녀 #능글남 #잔잔물 #달달물 #사이다남 #직진남 #짝사랑남 #동정녀 #힐링물 #별점100개이상 #3000원이하 #10%할인 #평점4점이상 #리뷰100개이상 #산자고 #로아,https://ridibooks.com/books/1239023663
2026-09-16,리디북스,8,슈가 트릭,한이림,2026-09-07,별점(리뷰수),4.5(454),#현대물 #나이차커플 #복수 #사내연애 #절륜남 #계략남 #순진녀 #상처녀 #능글남 #조직/암흑가 #경찰/형사/수사관 #소유욕/독점욕/질투 #능력남 #집착남 #냉정남 #오만남 #직진녀 #별점100개이상 #5000~1만원 #10%할인 #평점4점이상 #리뷰100개이상 #단행본 #한이림 #SOME,https://ridibooks.com/books/5919000293
2026-09-16,리디북스,9,서울에서 남자애 하나가 내려왔다더라,견우,2026-08-14,별점(리뷰수),"4.7(1,276)",#현대물 #학원물 #첫사랑 #재회물 #친구>연인 #까칠남 #상처남 #순정남 #동정남 #다정남 #상처녀 #오해 #카리스마남 #재벌남 #애증 #신분차이 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #직진남 #집착남 #짝사랑남 #평범녀 #능글녀 #다정녀 #후회녀 #짝사랑녀 #순정녀 #동정녀 #무심녀 #털털녀 #조신남 #츤데레남 #별점1000개이상 #5000~1만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #견우 #SOME,https://ridibooks.com/books/4865000493
2026-09-16,리디북스,10,슈가 러쉬(Sugar Rush),정비비,2026-09-14,별점(리뷰수),4.5(72),#현대물 #원나잇 #순정남 #다정남 #절륜남 #능글남 #몸정>맘정 #소유욕/독점욕/질투 #능력남 #직진남 #애교남 #유혹남 #집착남 #짝사랑남 #나쁜여자 #철벽녀 #무심녀 #더티토크 #5000~1만원 #10%할인 #고수위 #평점4점이상 #단행본 #정비비 #르네,https://ridibooks.com/books/1811279318
2026-09-16,리디북스,11,두근두근 플래닛,백민아,2025-02-01,별점(리뷰수),"4.5(1,332)",#현대물 #캠퍼스물 #로맨틱코미디 #순정남 #동정남 #상처녀 #달달물 #짝사랑남 #순진남 #대형견남 #짝사랑녀 #동정녀 #외유내강 #별점1000개이상 #1만원~2만원 #리뷰500개이상 #10%할인 #평점4점이상 #단행본 #백민아 #나인,https://ridibooks.com/books/5654000184
2026-09-16,리디북스,12,고백 공격은 신중하게,민해라,2026-09-02,별점(리뷰수),4.3(315),#현대물 #캠퍼스물 #로맨틱코미디 #동정남 #순진녀 #재벌남 #라이벌/앙숙 #비밀연애 #뇌섹남 #능력남 #집착남 #오만남 #철벽녀 #동정녀 #무심녀 #별점100개이상 #3000~5000원 #평점4점이상 #리뷰100개이상 #단행본 #민해라 #에이블,https://ridibooks.com/books/3049083853
2026-09-16,리디북스,13,이주,스무이레,2026-08-07,별점(리뷰수),"4.7(1,871)",#현대물 #첫사랑 #재회물 #순정남 #다정남 #절륜남 #계략남 #상처녀 #능글남 #재벌남 #애잔물 #법조계 #권선징악 #오래된연인 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #사이다남 #직진남 #애교남 #유혹남 #집착남 #짝사랑남 #대형견남 #뇌섹녀 #능력녀 #사이다녀 #다정녀 #짝사랑녀 #순정녀 #철벽녀 #까칠녀 #외유내강 #걸크러시 #별점1000개이상 #5000~1만원 #리뷰1000개이상 #10%할인 #평점4점이상 #단행본 #스무이레 #신영미디어,https://ridibooks.com/books/211058233
2026-09-16,리디북스,14,러브:제로(Love:Zero),이분홍,2025-04-10,별점(리뷰수),"4.8(6,297)",#현대물 #19+ #동거 #로맨틱코미디 #첫사랑 #친구>연인 #까칠남 #나쁜남자 #순정남 #동정남 #후회남 #절륜남 #순진녀 #상처녀 #재벌남 #달달물 #베이비메신저 #애증 #외국인/혼혈 #스포츠물 #비밀연애 #신분차이 #계약연애/결혼 #소유욕/독점욕/질투 #능력남 #사이다남 #직진남 #집착남 #평범녀 #뇌섹녀 #순정녀 #동정녀 #힐링물 #성장물 #츤데레남 #1만원~2만원 #리뷰1000개이상 #별점5000개이상 #10%할인 #평점4점이상 #단행본 #이분홍 #나인,https://ridibooks.com/books/5721000280
2026-09-16,리디북스,15,개X새 주의보,심차은,2026-09-14,별점(리뷰수),4.3(46),#현대물 #19+ #로맨틱코미디 #사내연애 #절륜남 #능글남 #재벌남 #계약연애/결혼 #소유욕/독점욕/질투 #운명적사랑 #뇌섹남 #능력남 #직진남 #뇌섹녀 #능력녀 #사이다녀 #철벽녀 #도도녀 #3000~5000원 #10%할인 #평점4점이상 #단행본 #심차은 #플로린,https://ridibooks.com/books/3863006432
2026-09-16,네이버시리즈,1,님과 함께 [독점],강춘,2026-02-02,다운로드수,113.2만,#NOVEL #로맨스 #까칠자상남 #동정남 #능력녀 #상처녀 #로맨틱코미디,https://series.naver.com/novel/detail.series?productNo=13694660
2026-09-16,네이버시리즈,2,고대렵호적양가일상,금일불상조,2026-09-10,다운로드수,26.2만,#NOVEL #로맨스 #다정녀 #대형견남 #능력남 #농사,https://series.naver.com/novel/detail.series?productNo=14570014
2026-09-16,네이버시리즈,3,갑질 [독점],시월이,2026-07-16,다운로드수,125.4만,#NOVEL #로맨스 #계략남 #재벌 #외유내강 #카리스마남,https://series.naver.com/novel/detail.series?productNo=14448131
2026-09-16,네이버시리즈,4,온실 속 도련님 [독점],춈춈,2026-09-08,다운로드수,35.3만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14661377
2026-09-16,네이버시리즈,5,내게 미친 친구 형 [독점],리첼리토,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14694775
2026-09-16,네이버시리즈,6,어린 아내에게 미치면 [독점],진숙,2025-10-22,다운로드수,161.1만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=13265980
2026-09-16,네이버시리즈,7,키스 하우스 [독점],만다라,2026-09-12,다운로드수,11.2만,#NOVEL #로맨스 #일상로맨스 #질투 #짝사랑남 #오해 #관계역전,https://series.naver.com/novel/detail.series?productNo=14679271
2026-09-16,네이버시리즈,8,무결의 세계 [독점],단단,2026-09-05,다운로드수,32.2만,#NOVEL #로맨스 #오피스로맨스 #로맨틱코미디 #직진남 #능력녀 #친구에서연인,https://series.naver.com/novel/detail.series?productNo=14661383
2026-09-16,네이버시리즈,9,물고 뜯고 속이고 [독점],강해주,2025-12-05,다운로드수,37만,#NOVEL #로맨스 #계약관계 #나이차커플 #몸정>맘정 #소유욕/집착 #상처녀,https://series.naver.com/novel/detail.series?productNo=13450273
2026-09-16,네이버시리즈,10,해일주의보 [독점],그일도,2025-08-04,다운로드수,356.7만,#NOVEL #로맨스 #계략남 #순정남 #로맨틱코미디 #소유욕/집착 #오피스로맨스,https://series.naver.com/novel/detail.series?productNo=12946697
2026-09-16,네이버시리즈,11,후원 낙인 [독점],하윤미,2024-09-26,다운로드수,100.8만,#NOVEL #로맨스 #후회남 #육아 #상처녀 #몸정>맘정 #순정남,https://series.naver.com/novel/detail.series?productNo=11549358
2026-09-16,네이버시리즈,12,밀착 강의 [독점],라니R,2026-06-23,다운로드수,92.1만,#NOVEL #로맨스 #까칠자상남 #몸정>맘정 #오피스로맨스 #로맨틱코미디 #구원,https://series.naver.com/novel/detail.series?productNo=14303918
2026-09-16,네이버시리즈,13,피사르 (pesar) [독점],완전천재,2025-10-22,다운로드수,110.2만,#NOVEL #로맨스 #상처녀 #소유욕/집착 #재벌 #후회남,https://series.naver.com/novel/detail.series?productNo=13252568
2026-09-16,네이버시리즈,14,길티 원나잇 [독점],리버 진,,다운로드수,,,https://series.naver.com/novel/detail.series?productNo=14384965
2026-09-16,네이버시리즈,15,기준 밖의 연애 [독점],멜로그레이스,2026-09-14,다운로드수,1.4만,#NOVEL #로맨스 #순정남 #까칠자상남 #몸정>맘정 #소유욕/집착 #친구에서연인,https://series.naver.com/novel/detail.series?productNo=14684959
