확인날짜,작품명,작가명,론칭일,별점,댓글수,다운로드수,키워드,URL
2026-08-11,사내 열애 [독점],손유애,2026-08-11,10.0,20,,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14543417
2026-08-11,우리 학교 쿼터백이 너드랑 사귄대! [선공개],마로나,2026-08-10,9.9,116,9.7천,#NOVEL #로맨스 #하이틴 #계약관계 #능글남 #대형견남 #철벽녀,https://series.naver.com/novel/detail.series?productNo=14554206
2026-08-11,배덕한 환승 남편 [독점],베르베르베르,2026-08-10,10.0,2,5.2천,#NOVEL #로맨스 #계약관계 #상처남 #순정남 #재벌,https://series.naver.com/novel/detail.series?productNo=14545855
2026-08-11,비의도적 동거 [독점],전여린,2026-08-10,9.7,13,6.4천,#NOVEL #로맨스 #순정남 #소유욕/집착 #재벌 #츤데레남주 #상처녀,https://series.naver.com/novel/detail.series?productNo=14544042
2026-08-11,착한 척은 개나 주고 [독점],스노우볼빵빵,2026-08-10,9.9,23,7천,#NOVEL #로맨스 #계략남 #상처녀 #소유욕/집착 #재회물 #직진남,https://series.naver.com/novel/detail.series?productNo=14540621
2026-08-11,미친 오빠의 몹쓸 구원 [독점],달뜬별,2026-08-03,10.0,34,3.5만,#NOVEL #로맨스 #구원 #재회물 #직진남 #임신후도망 #햇살녀,https://series.naver.com/novel/detail.series?productNo=14520692
2026-08-11,당신이 잠든 시간 [선공개],서채리,2026-08-03,9.9,177,1.8만,#NOVEL #로맨스 #강단녀 #뇌섹남 #배틀연애 #임신후도망 #셀프구원여주,https://series.naver.com/novel/detail.series?productNo=14515554
2026-08-11,웨딩드레스를 입은 불청객 [독점],김아롬,2026-08-08,9.1,34,8만,#NOVEL #로맨스 #재벌 #로맨틱코미디 #달달물 #성장물 #직진남,https://series.naver.com/novel/detail.series?productNo=14537874
2026-08-11,김택서 복수일지 [독점],그일도,2026-08-06,9.5,692,46.5만,#NOVEL #로맨스 #소유욕/집착 #애증 #하남자 #강단녀 #로맨틱코미디,https://series.naver.com/novel/detail.series?productNo=14514494
2026-08-11,남편이 사랑에 빠졌다 [독점],성소작,2026-08-04,8.3,96,13.1만,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14527106
2026-08-11,반드시 결혼을 허락할 것 [독점],느린돌,2026-08-01,9.2,38,11.8만,#NOVEL #로맨스 #오피스로맨스 #로맨틱코미디 #까칠자상남 #재벌 #직진남,https://series.naver.com/novel/detail.series?productNo=14514114
2026-08-11,그 개는 뭅니다 [독점],박약초,2026-07-30,9.0,139,28.3만,#NOVEL #로맨스 #오피스로맨스 #재벌 #폭스남 #다정녀 #소유욕/집착,https://series.naver.com/novel/detail.series?productNo=14469623
