확인날짜,작품명,작가명,론칭일,별점,댓글수,다운로드수,키워드,URL
2026-08-25,개수작은 곱게 [독점],로맨스좀비,2026-08-25,9.4,6,,#NOVEL #로맨스 #소유욕/집착 #동거 #배덕감 #절륜남 #재벌,https://series.naver.com/novel/detail.series?productNo=14613179
2026-08-25,푸른 눈의 귀비 [독점],설현아,2026-08-24,10.0,3,2.9천,#NOVEL #로맨스,https://series.naver.com/novel/detail.series?productNo=14607893
2026-08-25,산중연가(山中緣歌) [독점],민가비,2026-08-24,9.7,1,2.5천,#NOVEL #로맨스 #로판환생물 #오래된연인 #츤데레남주 #까칠자상남 #순정남,https://series.naver.com/novel/detail.series?productNo=14607083
2026-08-25,"선생님, 어린 아내는 안 돼요? [독점]",레이먼,2026-08-24,9.4,26,6.3천,#NOVEL #로맨스 #나이차커플 #재벌 #짝사랑녀 #사제관계 #선결혼후연애,https://series.naver.com/novel/detail.series?productNo=14605152
2026-08-25,"오직, 나의 여름 [독점]",백일몽,2026-08-24,9.8,1,5.2천,#NOVEL #로맨스 #권선징악 #능력남 #소유욕/집착 #유혹남 #짝사랑녀,https://series.naver.com/novel/detail.series?productNo=14597601
2026-08-25,소리 없는 아내 [독점],세환,2026-08-24,10.0,5,9.2천,#NOVEL #로맨스 #나이차커플 #재벌 #정략결혼 #소유욕/집착 #상처녀,https://series.naver.com/novel/detail.series?productNo=14589059
2026-08-25,이븐 게임(Even Game) [독점],이서윤,2026-08-17,10.0,9,1.4만,#NOVEL #로맨스 #몸정>맘정 #능력남 #털털녀 #소유욕/집착 #카리스마남,https://series.naver.com/novel/detail.series?productNo=14572468
2026-08-25,길티 애프터 [독점],서윤재,2026-08-17,9.4,16,1.7만,#NOVEL #로맨스 #계략남 #계약관계 #몸정>맘정,https://series.naver.com/novel/detail.series?productNo=14569436
2026-08-25,교수님의 이상형 [독점],은자향,2026-08-17,9.9,41,6.7만,#NOVEL #로맨스 #나이차커플 #다정남 #메디컬 #순애 #능력녀,https://series.naver.com/novel/detail.series?productNo=14553154
2026-08-25,하룻밤을 보냈더니 [독점],고슬밥,2026-08-15,9.5,1천,15.7만,#NOVEL #로맨스 #사제관계 #계략남 #능력남 #다정남 #상처녀,https://series.naver.com/novel/detail.series?productNo=14573098
